FECHA;INDICATIVO;TEMP_sup_30
01-01-2019;1387;0
01-02-2019;1387;0
01-03-2019;1387;0
01-04-2019;1387;0
01-05-2019;1387;1
01-06-2019;1387;0
01-07-2019;1387;0
01-08-2019;1387;1
01-09-2019;1387;0
01-10-2019;1387;0
01-11-2019;1387;0
01-12-2019;1387;0
01-01-2019;1387E;0
01-02-2019;1387E;0
01-03-2019;1387E;0
01-04-2019;1387E;0
01-05-2019;1387E;1
01-06-2019;1387E;0
01-07-2019;1387E;0
01-08-2019;1387E;2
01-09-2019;1387E;0
01-10-2019;1387E;0
01-11-2019;1387E;0
01-12-2019;1387E;0
01-01-2019;1428;0
01-02-2019;1428;0
01-03-2019;1428;0
01-04-2019;1428;0
01-05-2019;1428;2
01-06-2019;1428;0
01-07-2019;1428;3
01-08-2019;1428;2
01-09-2019;1428;1
01-10-2019;1428;0
01-11-2019;1428;0
01-12-2019;1428;0
01-01-2019;8175;0
01-02-2019;8175;0
01-03-2019;8175;0
01-04-2019;8175;0
01-05-2019;8175;1
01-06-2019;8175;17
01-07-2019;8175;29
01-08-2019;8175;28
01-09-2019;8175;7
01-10-2019;8175;3
01-11-2019;8175;0
01-12-2019;8175;0
01-01-2019;8178D;0
01-02-2019;8178D;0
01-03-2019;8178D;0
01-04-2019;8178D;0
01-05-2019;8178D;1
01-06-2019;8178D;18
01-07-2019;8178D;29
01-08-2019;8178D;28
01-09-2019;8178D;9
01-10-2019;8178D;3
01-11-2019;8178D;0
01-12-2019;8178D;0
01-01-2019;8025;0
01-02-2019;8025;0
01-03-2019;8025;0
01-04-2019;8025;0
01-05-2019;8025;2
01-06-2019;8025;6
01-07-2019;8025;27
01-08-2019;8025;23
01-09-2019;8025;4
01-10-2019;8025;1
01-11-2019;8025;0
01-12-2019;8025;0
01-01-2019;8019;0
01-02-2019;8019;0
01-03-2019;8019;0
01-04-2019;8019;0
01-05-2019;8019;2
01-06-2019;8019;0
01-07-2019;8019;24
01-08-2019;8019;0
01-09-2019;8019;3
01-10-2019;8019;0
01-11-2019;8019;0
01-12-2019;8019;0
01-01-2019;6325O;0
01-02-2019;6325O;0
01-03-2019;6325O;0
01-04-2019;6325O;0
01-05-2019;6325O;0
01-06-2019;6325O;7
01-07-2019;6325O;15
01-08-2019;6325O;15
01-09-2019;6325O;9
01-10-2019;6325O;3
01-11-2019;6325O;0
01-12-2019;6325O;0
01-01-2019;9091O;0
01-02-2019;9091O;0
01-03-2019;9091O;0
01-04-2019;9091O;0
01-05-2019;9091O;0
01-06-2019;9091O;13
01-07-2019;9091O;10
01-08-2019;9091O;11
01-09-2019;9091O;0
01-10-2019;9091O;0
01-11-2019;9091O;0
01-12-2019;9091O;0
01-01-2019;1212E;0
01-02-2019;1212E;0
01-03-2019;1212E;0
01-04-2019;1212E;0
01-05-2019;1212E;0
01-06-2019;1212E;0
01-07-2019;1212E;0
01-08-2019;1212E;1
01-09-2019;1212E;0
01-10-2019;1212E;0
01-11-2019;1212E;0
01-12-2019;1212E;0
01-01-2019;1208H;0
01-02-2019;1208H;0
01-03-2019;1208H;0
01-04-2019;1208H;0
01-05-2019;1208H;0
01-06-2019;1208H;0
01-07-2019;1208H;0
01-08-2019;1208H;0
01-09-2019;1208H;0
01-10-2019;1208H;0
01-11-2019;1208H;0
01-12-2019;1208H;0
01-01-2019;1249I;0
01-02-2019;1249I;0
01-03-2019;1249I;0
01-04-2019;1249I;0
01-05-2019;1249I;1
01-06-2019;1249I;0
01-07-2019;1249I;0
01-08-2019;1249I;2
01-09-2019;1249I;0
01-10-2019;1249I;0
01-11-2019;1249I;0
01-12-2019;1249I;0
01-01-2019;2444;0
01-02-2019;2444;0
01-03-2019;2444;0
01-04-2019;2444;0
01-05-2019;2444;0
01-06-2019;2444;8
01-07-2019;2444;19
01-08-2019;2444;15
01-09-2019;2444;0
01-10-2019;2444;0
01-11-2019;2444;0
01-12-2019;2444;0
01-01-2019;4452;0
01-02-2019;4452;0
01-03-2019;4452;0
01-04-2019;4452;2
01-05-2019;4452;17
01-06-2019;4452;14
01-07-2019;4452;28
01-08-2019;4452;28
01-09-2019;4452;21
01-10-2019;4452;8
01-11-2019;4452;0
01-12-2019;4452;0
01-01-2019;B954;0
01-02-2019;B954;0
01-03-2019;B954;0
01-04-2019;B954;0
01-05-2019;B954;0
01-06-2019;B954;4
01-07-2019;B954;19
01-08-2019;B954;18
01-09-2019;B954;0
01-10-2019;B954;0
01-11-2019;B954;0
01-12-2019;B954;0
01-01-2019;B893;0
01-02-2019;B893;0
01-03-2019;B893;0
01-04-2019;B893;0
01-05-2019;B893;0
01-06-2019;B893;4
01-07-2019;B893;20
01-08-2019;B893;17
01-09-2019;B893;2
01-10-2019;B893;0
01-11-2019;B893;0
01-12-2019;B893;0
01-01-2019;B228;0
01-02-2019;B228;0
01-03-2019;B228;0
01-04-2019;B228;0
01-05-2019;B228;0
01-06-2019;B228;7
01-07-2019;B228;24
01-08-2019;B228;22
01-09-2019;B228;7
01-10-2019;B228;0
01-11-2019;B228;0
01-12-2019;B228;0
01-01-2019;B278;0
01-02-2019;B278;0
01-03-2019;B278;0
01-04-2019;B278;0
01-05-2019;B278;0
01-06-2019;B278;8
01-07-2019;B278;31
01-08-2019;B278;29
01-09-2019;B278;5
01-10-2019;B278;1
01-11-2019;B278;0
01-12-2019;B278;0
01-01-2019;0200E;0
01-02-2019;0200E;0
01-03-2019;0200E;0
01-04-2019;0200E;0
01-05-2019;0200E;0
01-06-2019;0200E;5
01-07-2019;0200E;18
01-08-2019;0200E;13
01-09-2019;0200E;0
01-10-2019;0200E;0
01-11-2019;0200E;0
01-12-2019;0200E;0
01-01-2019;0076;0
01-02-2019;0076;0
01-03-2019;0076;0
01-04-2019;0076;0
01-05-2019;0076;0
01-06-2019;0076;4
01-07-2019;0076;14
01-08-2019;0076;13
01-09-2019;0076;1
01-10-2019;0076;0
01-11-2019;0076;0
01-12-2019;0076;0
01-01-2019;1082;0
01-02-2019;1082;0
01-03-2019;1082;0
01-04-2019;1082;0
01-05-2019;1082;1
01-06-2019;1082;4
01-07-2019;1082;5
01-08-2019;1082;5
01-09-2019;1082;2
01-10-2019;1082;1
01-11-2019;1082;0
01-12-2019;1082;0
01-01-2019;2331;0
01-02-2019;2331;0
01-03-2019;2331;0
01-04-2019;2331;0
01-05-2019;2331;0
01-06-2019;2331;8
01-07-2019;2331;13
01-08-2019;2331;15
01-09-2019;2331;0
01-10-2019;2331;0
01-11-2019;2331;0
01-12-2019;2331;0
01-01-2019;3469A;0
01-02-2019;3469A;0
01-03-2019;3469A;0
01-04-2019;3469A;0
01-05-2019;3469A;9
01-06-2019;3469A;14
01-07-2019;3469A;27
01-08-2019;3469A;26
01-09-2019;3469A;18
01-10-2019;3469A;4
01-11-2019;3469A;0
01-12-2019;3469A;0
01-01-2019;5973;0
01-02-2019;5973;0
01-03-2019;5973;0
01-04-2019;5973;0
01-05-2019;5973;0
01-06-2019;5973;0
01-07-2019;5973;0
01-08-2019;5973;6
01-09-2019;5973;4
01-10-2019;5973;0
01-11-2019;5973;0
01-12-2019;5973;0
01-01-2019;5960;0
01-02-2019;5960;0
01-03-2019;5960;0
01-04-2019;5960;0
01-05-2019;5960;16
01-06-2019;5960;0
01-07-2019;5960;18
01-08-2019;5960;29
01-09-2019;5960;23
01-10-2019;5960;0
01-11-2019;5960;0
01-12-2019;5960;0
01-01-2019;5910;0
01-02-2019;5910;0
01-03-2019;5910;0
01-04-2019;5910;0
01-05-2019;5910;5
01-06-2019;5910;4
01-07-2019;5910;9
01-08-2019;5910;18
01-09-2019;5910;6
01-10-2019;5910;2
01-11-2019;5910;0
01-12-2019;5910;0
01-01-2019;6001;0
01-02-2019;6001;0
01-03-2019;6001;0
01-04-2019;6001;0
01-05-2019;6001;0
01-06-2019;6001;0
01-07-2019;6001;0
01-08-2019;6001;0
01-09-2019;6001;0
01-10-2019;6001;0
01-11-2019;6001;0
01-12-2019;6001;0
01-01-2019;1111;0
01-02-2019;1111;0
01-03-2019;1111;0
01-04-2019;1111;0
01-05-2019;1111;0
01-06-2019;1111;0
01-07-2019;1111;0
01-08-2019;1111;2
01-09-2019;1111;1
01-10-2019;1111;0
01-11-2019;1111;0
01-12-2019;1111;0
01-01-2019;1109;0
01-02-2019;1109;0
01-03-2019;1109;0
01-04-2019;1109;0
01-05-2019;1109;0
01-06-2019;1109;0
01-07-2019;1109;2
01-08-2019;1109;2
01-09-2019;1109;1
01-10-2019;1109;0
01-11-2019;1109;0
01-12-2019;1109;0
01-01-2019;8500A;0
01-02-2019;8500A;0
01-03-2019;8500A;0
01-04-2019;8500A;0
01-05-2019;8500A;0
01-06-2019;8500A;5
01-07-2019;8500A;29
01-08-2019;8500A;25
01-09-2019;8500A;6
01-10-2019;8500A;0
01-11-2019;8500A;0
01-12-2019;8500A;0
01-01-2019;5000C;0
01-02-2019;5000C;0
01-03-2019;5000C;0
01-04-2019;5000C;0
01-05-2019;5000C;2
01-06-2019;5000C;1
01-07-2019;5000C;6
01-08-2019;5000C;13
01-09-2019;5000C;1
01-10-2019;5000C;0
01-11-2019;5000C;0
01-12-2019;5000C;0
01-01-2019;4121;0
01-02-2019;4121;0
01-03-2019;4121;0
01-04-2019;4121;0
01-05-2019;4121;11
01-06-2019;4121;19
01-07-2019;4121;30
01-08-2019;4121;31
01-09-2019;4121;12
01-10-2019;4121;2
01-11-2019;4121;0
01-12-2019;4121;0
01-01-2019;5402;0
01-02-2019;5402;0
01-03-2019;5402;0
01-04-2019;5402;2
