FECHA;INDICATIVO;VIENTO_sup_55
01-01-2018;1387;0
01-02-2018;1387;0
01-03-2018;1387;0
01-04-2018;1387;5
01-05-2018;1387;0
01-06-2018;1387;0
01-07-2018;1387;0
01-08-2018;1387;0
01-09-2018;1387;0
01-10-2018;1387;8
01-11-2018;1387;8
01-12-2018;1387;11
01-01-2018;1387E;0
01-02-2018;1387E;5
01-03-2018;1387E;18
01-04-2018;1387E;5
01-05-2018;1387E;0
01-06-2018;1387E;0
01-07-2018;1387E;0
01-08-2018;1387E;0
01-09-2018;1387E;0
01-10-2018;1387E;0
01-11-2018;1387E;0
01-12-2018;1387E;12
01-01-2018;1428;4
01-02-2018;1428;0
01-03-2018;1428;13
01-04-2018;1428;4
01-05-2018;1428;0
01-06-2018;1428;0
01-07-2018;1428;0
01-08-2018;1428;0
01-09-2018;1428;0
01-10-2018;1428;0
01-11-2018;1428;7
01-12-2018;1428;6
01-01-2018;8175;4
01-02-2018;8175;2
01-03-2018;8175;19
01-04-2018;8175;6
01-05-2018;8175;2
01-06-2018;8175;2
01-07-2018;8175;1
01-08-2018;8175;4
01-09-2018;8175;0
01-10-2018;8175;0
01-11-2018;8175;3
01-12-2018;8175;3
01-01-2018;8178D;0
01-02-2018;8178D;0
01-03-2018;8178D;11
01-04-2018;8178D;3
01-05-2018;8178D;0
01-06-2018;8178D;0
01-07-2018;8178D;0
01-08-2018;8178D;1
01-09-2018;8178D;0
01-10-2018;8178D;1
01-11-2018;8178D;1
01-12-2018;8178D;1
01-01-2018;8025;2
01-02-2018;8025;0
01-03-2018;8025;4
01-04-2018;8025;2
01-05-2018;8025;0
01-06-2018;8025;0
01-07-2018;8025;0
01-08-2018;8025;0
01-09-2018;8025;0
01-10-2018;8025;1
01-11-2018;8025;0
01-12-2018;8025;0
01-01-2018;8019;10
01-02-2018;8019;2
01-03-2018;8019;9
01-04-2018;8019;7
01-05-2018;8019;1
01-06-2018;8019;1
01-07-2018;8019;0
01-08-2018;8019;1
01-09-2018;8019;2
01-10-2018;8019;2
01-11-2018;8019;0
01-12-2018;8019;0
01-01-2018;6325O;9
01-02-2018;6325O;8
01-03-2018;6325O;0
01-04-2018;6325O;14
01-05-2018;6325O;8
01-06-2018;6325O;0
01-07-2018;6325O;3
01-08-2018;6325O;4
01-09-2018;6325O;0
01-10-2018;6325O;8
01-11-2018;6325O;6
01-12-2018;6325O;2
01-01-2018;9091O;0
01-02-2018;9091O;0
01-03-2018;9091O;0
01-04-2018;9091O;4
01-05-2018;9091O;0
01-06-2018;9091O;0
